,0
429,Çok başarılı bir sunumdu her paylaşımınızda biraz daha cahil olduğumu anlıyorum sanırım sayenizde asla bir şeyler hakkında bilgimiz var artık diyemiyoruz  NE KADAR ÇOK ŞEY ÖĞRENSEK EVRENDE KÜÇÜLDÜĞÜMÜ HİSSEDİYORUM garip bir olay
430,60.yıldan çok umutluyuz 😃
431,Melek bölümü yüzünden hala heykel alamayan ben kdkdk
432,Sen Harika bir detaysın be abi.
433,Ayy çok imrendim harika olmuş
434,Barış bey müthişsiniz . Dr Who tamam da bu tarz boxların Türkiyede yapıldığını bilmek çok hoşuma gitti . Üreten firmayı kutluyorum. selamlar
435,Vay barış abi de whovianmış he. Fevkalade.
436,"harika video tebrikler, bu arada podu yapan firmayı merak ettim türkiyede böyle yetenekli firmalar varmıymış? kesinlikle ulaşıp mimari ofis projelerimde ürünlerini kullanmak isterim"
437,Kadın doktoru hiç görmememiz heralde Barış beyin de kadın doktoru pek beğenmemesinden kaynaklanıyor.
438,Ohaaaa tardis mi o ohaaaa çok iyiii❤
439,para olunca herseyi yapabilme gücü bambaska bişey be barış kardeş...
440,harikaaaa bayıldımmm favori dizim o kadar hoşuma gittiki.. umarım daha fazla doctor who videosu gelir :)))
441,Benim dizim.
442,🎉🎉🎉
443,BARIŞ ABI ya gerçekten iyiki varsınız<br>Honestly you are one of my most influencial people on earth top five<br>ALUX-EMIIL ANTON<br>CARL SAGAN<br>ELON MUSK<br>RAY DALIO<br>VEEEEEEEEEEEEEEEEEEEE BARIŞ ÖZCAAAAAAAAAAAAAAAAAAAAAAAAAAN
444,Bir reklam ancak bu kadar kaliteli yapilabilir.
445,Bu zamanın Dr Who su belkide sizsiniz.
446,"Kaçırdığınız veya atladığınız bir bölüm var😂 tardis de hiçbir zaman aynı değildi farklı doktorlara baktığımızda, doktorların tardislerinin dış şekli ve boyutunun değiştiğini gözlemleyebiliri. İçinin her zaman değiştini söylemeye gerek yok zaten"
447,Büyük bir zevkle izledim. Teşekkürler sevgili Barış.
448,Heyecanına bizleri de ortak ettiğin için teşekkür ederiz.
449,Nasil devam ediyor ya doctor who yeni sezon mu var ?
450,Maglum zat sarayi
451,Artık reklamları bile sanata dönüştürecek kadar ilerlediğin için teşekkürler.
452,Her degisimde bir sonrakine alismak bir oncesini ozlemek cok zor geliyordu biraktim😅
453,60. Yil ozel bolumlerini de soyleseydinn
454,yapıyorsun bu siporu
455,"Üstadım Barış bey, siz uzun süre ara mı verdiniz ben mi denk gelemedim ama özlemişiz sizi. Çağrı Mert ile senin bilim anlatıcılığını çok seviyorum. Ülkemiz için çok gerekli çünkü. Özellikle son 20 yıl içinde. Emeğinize sağlık!"
456,Whovianları görelim! 💙
457,Doctor Who favori dizimdir.
458,"Doctor who&#39;yu üniverssite dönemlerinde severek izlerdim. 10. doktor David Tennant favorimdi ve favori yoldaşım Donna. Gerek senaryo gerekse müzik açısından güzel bir diziydi. Benimde bir tardis&#39;im olsa keşke... Az önce 60. yıl dönümü için David  and Catherine Tate&#39;in bir araya geleceğini öğrendim, üç bölüm olsa da süper.... Allons-y!!!"
459,2 gün önce Doctor Who yu anlatan ingilizce bir sunum yapmıştım sınıfımda. Şimdi bunu görmek mutlu etti❤
460,yaaaa senelerdir izlediğim dizi görünce başlıkta çok şaşırdım.<br>herkese tavsiye ederim çok güzel dizidir.
461,"Aklıma Tardis şekilli buzdolap yaptırmak geldi, ve ya kütüphane 🤔"
462,"Ay harika bir videoydu… En çok da David Tennant sahneleri eklenmiş, Barış abinin favori doktoru belli oldu diyebilir miyiz :)"
463,"Yılardır hastası oldugum diziye, 12 yaşlı kızıma da bulaştırdım ❤"
464,<b>Harika bir şey    hatta   bazen   evde  ve  ofiste   insanların  SİNİRLENDİKLERİNDE   İÇİNE GİRİP   BAĞIRIP Sinirlerini  boşaltmaları için  :-D</b><br><b>Ayrıca   evlerde  çocukların  duymaması  için  ebeveynlerin   konuşmaları yapmaları için  (  MUTFAK !!  :-D )</b><br><b>AMA   ÖZELLİKLE    biraz daha  sağlam yapılabilirse  DEPREM ANINDA  ( ve hatta yangında )  içine  sığınılabilecek   dizaynda  yapılabilirse ...</b><br>.
465,Kapısı dışa açılıyor. Normalde içeri açar hep doctor
466,Sabah sabah bize reklam izlettin helal olsun !
467,Doktor Barış)
468,"Barış abi çok duygulandım, yıllardır en sevdiğim dizi arasındadır o kadar yeni dizi izlememe rağmen değişmedi.."
469,Hikaye anlatımı ve videolaştırma tartışılmaz feyz almak için tüm videoları atlamadan izlemeye devam 👍 Barış Özcan 💯💯💯
470,Ben olsam sanırım STAR WARS ile ilgili bir tasarım isterdim 😊
471,Çok severim yaaa
472,Ürün yerleştirmeye bak 🥇
473,🤜🫶🤛
474,okula gitmeden önce iyi oldu
475,Doctor Who hayranlarına selam olsun 🖐🏻 😎
476,😘
477,"Baris abi ilk kez birini böylesine kiskandim 🥲 27 yasindayim cocuklugumdan beri bikmadan usanmadan tekrar tekrar izlerim bu diziyi, en sevdigim yabanci dizidir sadece bilimkurgu dalinda degil geneldede öyle. Ve en sevdigim &quot;Doctor&quot; Matt Smith 🤍 TARDİS&#39;in var sonik tornavidan var ve son dakikalarda ortaya cikan &quot;Ağlayan Melek&quot; 🥹 sanirim seninde en sevdigin bolumlerden biri ♥️ konu izolasyon odasi ama icim gitti valla TARDİS&#39;ine keske benimde olsa 🥲🫠"
478,Apple çağrı merkezinde çalışıyorsun :) gizlemene gerek yok :)
479,"izleyin, izlettirin mukemmel bir dizi🛸"
480,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=6m34s"">6:34</a> Nasrettin hoca kurgusal karakter değil."
481,Guzel bir reklam iş birlikteliği olmuş 😊
482,Bizede nasip etsin 😊😂
483,Sağlam bir Doctor Who fanı olarak stüdyonu kıskandım Barış abi 😂çünkü hayalimi yaşıyorsun😍
484,❤
485,👀
486,"Reklam kısmını geçmeden izlediğim tek kanal, Barış Özcan. O kadar kaliteli ki..."
487,Emeğine sağlık Barış abi
488,18 yıllık bir Doctor Who hayranı olarak aşırı kıskandım umarım bir gün benim de o hayal ettiğim tardis yakınımda olur. Video çok güzeldi emeğinize sağlık Barış bey.
489,Ne kadar güzel  insanın  kendisi için ve bir nevi bizim içinde böyle bir şey yapması o içindeki heyecanı tutkuyu hayatında yaşatabilmesi❤
490,Barış özcan 111 hz yi dinliyorum gerçekten çok güzel
491,Abi hangi kamerayı kullanıyorsun?
492,"Millet, favori doktorunuz kim?"
493,Her sezon bitiminde inanılmaz bir burukluk oluyor içimde. Sonlar üzücü her zaman tabi. Bir doktora alışmak sonra da kaybetmek hiç kolay değil
494,Hayırlı olsun bizi de yanına al. Çalışma daveti gönder. Pardon konu bu değildi😂
495,Zamanın ve mekanın çeşitli köşelerine yerleşmiş sessiz avcıları olmak duasıyla teşekkürler Barış abi ❤
496,Gunaydin
497,Bizi zamanın ve mekanın herhangi bir yerine götürebilen TARDİS tasarımında bir sesli kitap kayıt stüdyosu... harika bir alt metin
498,Abim çok zekisin
499,akıllı gözlük ayrıntısını fark edenler
500,Yıllardır bıkmadan izliyorum. Her daim yeni bilgiler edinmek çox güzel. Seviliyorsun Barış abi. Baküden selamlar❤️
501,"Something old, something new, something borrowed, something blue..."
502,Doctor Who izlediğini bilmiyordum. Beni gerçekten mutlu etti. Çok değerli bir kültür olduğunu düşünüyorum
503,Abi okula gitmem lazım ama videonuzu hemen izlemek istiyorum.
504,Sen nasıl bi kralsın daha çok video istiyoruz doyamıyoruz sana
505,Abi yatsana ne işin var bu saatte
506,Günaydın
507,vay be
508,ula tam okula giderken 😔
509,❤
510,Koştuk geldik ❤
511,Hayırlı olsun abi :D
512,videonun yüklenme anı şakamıı
513,Sk
514,Okula gitmeden önce bunu izliyerek hem eylenicem hem örenicem
515,Hayırlı Olsun 😮
516,şaka yapıyorsunnnn ya 😍😍😍🤩🤩🤩 yapması hayalim olan o video (bitiriş efsaneeee hahaha)
517,Demataryelize ne zaman olur?
518,hocam ızlemedım ama emınım cok kalıtelı bi videodur vizem var 3 te
519,Doctor Who? En iyi dizilerden birisi. Çok iyi video. Mükemmel göndermeler var.
520,Abi seni severek izliyorum gerçwktwn kaliteli içerikler çekiyorsun
521,Güne sizinle başlamak çok güzel barış bey 😊ben çok severdim doctor who dizisini ❤️❤️
522,👍👍👍👍..
523,İlk abii cok seviyorum seni vidiolarinin devamini bekliyorjm
524,vay be abi yemin ederim hiç duruşunu ve konuşmanı değiştirmedin 6 yıl boyunca boşuna sevmiyoruz seni
525,İlklerden
526,İlk yorum ilk izlenme benim 😃
527,Abi senin sayende her video attığında bir yasima daha giriyorum helal olsun valla
528,Ben ilk
529,Günaydın abim
530,"❤ <a href=""https://youtu.be/2xvV-t6G-nY?si=eV1Okl958Oz-gVJO"">https://youtu.be/2xvV-t6G-nY?si=eV1Okl958Oz-gVJO</a>"
531,🖐🏼
532,Selam
533,İlk
534,İlk
535,sonunda doctor who videosu geldi
536,İlk yorummm :3
537,Öz abim
538,İlk
539,Abi seni çok seviyorum❤❤❤
540,Selam
541,İlk yorum
542,ilk.
543,ilk
544,1
545,"60 yıl önce bugün, 23 Kasım 1963&#39;te tüm zamanların en uzun soluklu bilim-kurgu hikayesinde tanıştık onunla. 60 yıl sonra yeni stüdyomda materyalize oldu :) &quot;Doktor Who&quot;severler ve henüz onu duymayanlar... Tanışma vakti geldi."
