,0
78,Ben de dedim ki dizi yeniden başlıyor çok mutlu oldum bir an sonra başlamadığını anladım üzüldüm ama çok iyi bir fikir geldi aklıma teşekkür ederim barış özcan iyiki varsın
79,İnsallah siz de bu kucuk kabinin icinde buyuk calismalar yaparsin.Dizidegi gibi ici disindan buyuk.😊
80,"İçi dışından daha büyük tamam ama bu komik değil, şaşırtıcı değil sadece bilim kurgu. Neden buna filmde, dizide yer verirsin ki? Muhtemelen &quot;şu olaya gönderme yaptı anlamadın mı?&quot; denilerek boş bir şeyi sanki çok önemliymiş gibi göstermek için."
81,Mutluluktan ağlayarak izledim hayalimi gerçekleştirmişsiniz❤ umarım birgün benimde bir tardism olur🙏🏻
82,Dizinin Kennedy&#39;in ölümünden bir gün sonra yayın hayatına başlaması da İngilizlerin Abd başkanını pek takmadığını gösteriyor.
83,👌
84,Arkadaşlar yeni sezonu izlemek istiyorum.Ama kadın doktorun olduğu sezonlarda ana hikayeyi anlatan bölümleri izleyip devam etmek istiyorum.Hangi bölümleri izleyip güncele devam edebilirim?
85,Barış özcan herkesin bilmediği değil hiçkimsenin bilmediği şeyleri biliyor olabilir mi :)
86,Kıskançlıktan geberdim
87,Aklıma TARS geldi o da efsane 😍
88,"Mükemmel bir video olmuş. Dizi müziklerinin kullanımı, diziye ait nesneler, bölümler... Geçen yıl diziyi seyrettiğim anları hatırladım. Emeğinize sağlık 🧡"
89,"Inanmıyorum şuan, tüylerim diken diken izledim tüm videoyu. Stüdyosuna gerçekten tardis getirmesinden mi etkilensem videoyu bu kadar özenli hazırlamasından mı bilemedim. Bir de dw den müzikler koyması çok hoş, çok tatlı bir video olmuş. 60.yıl özel bölümünü sayenizde daha büyük bir heyecanla bekliyorum. 🤩"
90,Türkçe dublaj lisi yok sanırım
91,"Kıskançlıktan ölücem 😂yeni hikayelerinize yolculuk için hayırlı olsun o vakit,siz de az Dr.Who diilsiniz❤"
92,Küçükken en büyük hayalim tardis kitaplığım olmasıydı birilerinin benim kadar onu sevmesi çok mutlu edici
93,Barış Özcan bana çok ilham veriyor.
94,Dr. who cırt leş.
95,Reklam izletmek için  zekice düşünülmüş 😊
96,Doctor Who 6. sezonda &quot;The Doctor&#39;s Wife&quot; adlı bir bölüm var. Bu bölümde Doktor ve Tardis&#39;in ruhu ilk kez tanışıyorlar. Benim için en özel bölümlerden biriydi ve Tardis&#39;i daha da sevdirmişti bana.
97,Barış Özcan dünya çapında en iyi youtube kanalı olarak ilk 10 a giyor mu acaba? başka bir şey demiyorum. .
98,yeni bölümü bulmaya çalışırken denk geldim videoya ve aşırı kıskandım şuanda
99,"tardis&#39;in iç yapısı, yeni odalar oluşturup bazı odaları silebiliyor olması, yolculara farklı dilleri anlayabilme ve konuşabilme özelliği verebilmesi gerçekten iyi gelişmiş bir yazılım imaji canlandırdı kafamda, aynı sanal bir dünya olan metaverse evreni gibi. bence metaverse geliştikçe ve kullanımı yaygınlaştıkça o da bir bakıma tardis görevi görecektir, tabii zamanda yolculuk kısmı dışında.. gerçi kim bilir, belki yapay zeka bir gün öylesine gelişir ki geçmişi ve geleceğimizi sanal gerçeklikte kurgulayabilen bir yapı haline gelir.. mutlaka izleyeceğim bu diziyi, emeğinize sağlık 🤍"
100,Ben sizi acayip kıskandım şimdi. Benim de birgün TARDİS&#39;im olacak😍 sondaki müzik de hep zaten yüreğımi hopladır
101,Aklıma şu geldi hepimiz dede olacaz sen yine dede halinde bir şey anltıcan bizde dede olarak seni dinlicez
102,EVE TARDİS TASARLTIP KURDURMAK SÜPER FİKİR..
103,Sonundako gözünü bile kırpmamak doktor who&#39;nun 3.sezon 11.bölümünde heykellerle işlenen bir konu. Harikasın Barış Özcan❤
104,Daha küçük iken minecraft lets play youtuberlarının kullandığı modlarda vardı :) Kim bilir yıllar sonra burada bunu öğrenecektik.
105,Doktor who izleyen kim kaldı benden başka?
106,Sondaki ağlayan melek güzel göndermeydi
107,TARDİS😢.  FAVORİM MATT SMİTH
108,abi yine yapmışsın.. bravo
109,Abi yaşıyorsun bu hayatı 👏👏👏
110,Bence hollywood ile yarışır.
111,Uzun süredir seni takip ediyorum sana bir sorum olacaktı ben de birçok yeri birçok ülkeyi gezdim aslen kilisliyim malum Suriye sınırına yakın bir şehir ve birçok şey ülkeye arabayla geziyorum tarımsal tüm yollara ve şehirlere aslen Almanya&#39;da yaşıyorum sviçre&#39;ye İtalya Romanya Suriye sınırı Hindistan ve birçok ülkede turuncu kablo döşeniyor tarlalara ve yollara dünyanın her yerine bu kablo neden döşeniyor ben internette bir şey bulamıyorum ama en son Kilis&#39;te sınıra yakın olan annemin tarlasında yanına kadar bu kabloyu döşediler ve Almanya&#39;da dağlık bir yerde yaşıyorum aynı kablo kapımın önüne kadar döşendi gerçekten Hindistan&#39;da bile gördüm ama en son en zor yollarında bir açıklama herhangi bir şey bulabilirseniz dönerseniz sevinirim
112,meleklere avcı neden dedın onu anlamadım bu kelıme bana olumsuzluğu çağrıştırdı haklarında kötumu dusunuyorsun
113,Nasreddin ismi Nasreddin Tusiden dolayı olmasın?
114,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=6m35s"">6:35</a> Nasreddin hoca değil, Nasreddin Tusi ( Azerbaycanlı bilim adamı) adınadır o krater."
115,"en büyük hayalim evimde şöyle bir TARDIS bulunması, ben hep kütüphane olarak kullanırım diye düşünmüştüm ama bu fikir de senin için çok iyi olmuş Barış abi. bu seriye 11-12 yaşlarımdan beri aşığım ve her yıl bıkmadan tekrar tekrar izliyorum. sevdiğini bilmek çoook mutlu etti &lt;3"
116,Doctor whoo❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤(dontblink)
117,Kadınlarda öyle içi dışından daha büyük
118,"Lüzumsuz iş, çaba."
119,uzun zamandır doctor who izlemiyordum bu hatırlatma bana iyi geldi
120,Amerikan kültürel emperyalizminin gönüllü kabulü.
121,"Tam da bugün reklamcılık sektörünün ne kadar berbat halde olduğunu düşünüyordum ki güzel bir reklam yedim.. Oyun oynarken belki 50 defa reklam gördüm, hepsinde kafamı çevirip başka şeyle ilgilendim, reklamın ne olduğunu bile hatırlamıyorum.. Ama videoda firmanın busypod olduğu giydikleri tişörtten kazındı aklıma.. Güzel bir taktik, reklamcılık için.. Önce esrarengiz hava vererek izleyiciyi ekrana kilitlemek ve o esrarengiz şeyleri anlatırken firmadan yararlandığını söylemek.."
122,Bu adam öyle bir adamki girdiği her ortamda sizi aptal gibi hissetirmeyi başarıyor
123,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=6m31s"">6:31</a> Uydunun merkezi orasıysa demek."
124,Dışı içiyle aynı boyutta🤨😐
125,bir bildirim bu kadar mutlu edebilirdi. bu iki ay tekrar izleme seruvenimi başlamıştım ve baya etkisindeydim. ustune bu video beni cok sevindirdi. bu diziyi izleyen harika anlayışa sahip bir Türk kitlesinin olduğunu da yorumlardan öğrenmiş oldum. teşekkürler barış ozcan
126,İlk defa çok sıkıldım anlatmizidan
127,İlk defa bir şeyi bukadar kıskanıyorum... 😮
128,11 ve 12 . Doktor favorimdi ❤
129,@BarisOzcan    Nasreddin Tusi degilmiydi o hocam?Məncə Nəsrəddin Tusidir.
130,Barış özcan abi çok kaliteli içerik üretiyorsun
131,heykeli görünce gözlerimi açtım
132,Çok iyi be :) 👍
133,"7000 USD bu orjinal boyuttaki TARDIS&#39;in fiyatı internette satışta haaa daha uygun fiyata da alınmış olabilir sadece tahmini bu yorumum, ancak bunu alabiliyorsa Barış Özcan varın siz hesaplayın yutüp kazancını vay anasına sayın seyirciler😮 Helali hoş olsun ne diyeyim gözümüz yok, varmak istediğim nokta bir yıllık asgari ücretin toplamına denk!!! Yoksa banane ne kadar kazanmış ya da kaç bin dolara almış, Çok üzücü olan da.bu maalesef, dünyanın bir yerinde insanlar bir yıl çalışarak bunu alırken, bir başka yerinde imkanı dahilinde anında bunun siparişini verebiliyor!"
134,Benim gibi doctor who hayranlarına selamlar
135,"Her konu bir sponsor a bağlanıyor, tabi sponsor olsun ama bu şekilde"
136,Yıllardır hayalım küçük bir tardisimin olmasıydı Barış abi odasına gerçeğini yaptırmış
137,Müthişşş
138,"Ayy en sevdiğim dizilerden.. Çocukken gök yüzüne Tardis&#39;i görme umuduyla baktığım zamanları hatırladım. Geceleri zamanda yolculuk ettiğimi hayal ederdim. İtiraf edeyim hâlâ böyleyim ahsdf. Bayıldım yeni stüdyonuza, şimdi podcastinizi dinlerken oradan kaydedilmiş olduğunu bilmek ayrı bir heyecan olacak. Video için teşekkürlerrr &lt;3"
139,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=11m00s"">11:00</a> dan sonrası o kadar iyi ki. Tüm Doctor Who Hayranlarının  eminim tüyleri ürpermiştir ve aşırı mutlu olmuştur. Detayların Hastasıyız Teşekkürler Barış Özcan. Kulübeyi ziyaret etme imkanımız olsa keşke :)"
140,Yeni stüdyonuzda bu videounuzda müfettiş gadgettan bahsetmenizi de bekledim saygılar.
141,En sevdiyim 11.doktor (12. biraz) ve Clara
142,Gerçekten reklamda 1 numarasın uzaylı mısın dedirten cinsten 😊
143,Yaramızı deşme birader ya mahvettiler diziyi!😢 Bu sezon kurtarırsa kurtarır.
144,Son sahnede kalp ritmim tavan yaptı
145,ağlayan meleklerrrrrr
146,Ray-Ban Meta! Göre göre kullan
147,bir doctor who sever olarak kapağı gördüğüm anda geldim
148,Nasreddin who
149,&lt;33
150,harika olmuş
151,"Keşke içi dışından büyük olsaydı, aşırı kiskanirdim ozaman 😂, o nasıl olacak ablam be ciler için açıklama yapayım , oda kapısı gibi düşünün, yani çevre duvarlar Tardis arka sınırindan başlasa tamamdi , çıkıntıli kapı gibi....."
152,Arkadaslar cok iyi bir makine 12 boyutlu verim akina si olmasi cok iyi telefon klubesine benziyor ama ici  nasil sizce
153,Vay beee yaklaşık 2 yıl önce 11. Sezonun başlarında bırakmıştım izlemeyi şuan ne kaddar özlediğimi fark ettim.. :&#39;)
154,Reklam için kurgulanan videoya disslike 👎🏼
155,Doctor who severek izliyordum ama google da izledigim bölümlerde kaldığım yerden izleyemiyorum netflix gibi önerebileceğiniz bir platform var mı
156,video sonundaki melek efsane olmuş :)
157,Abi içeriklerini artık beyenemiyorum.
158,Abi frenleri açık unutmuşsun ondan çok ses yapıyor haberin olsun 😂
159,bu ne beee
160,Bir doctor who fani olarak söylüyorum videonun sonunda ağlayan melek olması ve david tennantin tiradini koymaniz çok hosuma gitti. Ve modern sezonlarin en iyi doktoru da David Tennant&#39;tır bana göre.
161,"Videoya çok güzel yedirmişsin reklamı, valla helal olsun."
162,"Hayallerimden biri kesinlikle evimde tardis olması ve bunun yapıldığını görmek, özellikle ofis gibi olması kesinlikle mükemmel bir şey. Bayıldım gerçekten, emeklerinize sağlık"
163,son bir senedir içeriklerini reklamını yapacağın ürüne göre ayarlaman çok zekice dostum
164,who ayağına iyi reklam yaptın dostum
165,"Çocukluğum benim Doctor Who, bu videoyu hazırladığın için teşekkür ederim. İzlemesi çok eğlenceliydi 💙"
166,Şuan sizden nefret ettim tardisiniz oldugu icin👿
167,Gördüğüm en epik sponsorlu video olmuş ya harika
